Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,Portfolio
April,3.0,4:00,100.00%,2.0,0.0,0.0,203.5,A
April,3.0,4:30,100.00%,1.0,0.0,0.0,76.0,A
April,3.0,5:00,100.00%,1.0,0.0,0.0,196.0,A
April,3.0,5:30,100.00%,1.0,0.0,0.0,281.0,A
April,3.0,6:00,100.00%,3.0,0.0,0.0,284.0,A
April,3.0,6:30,50.00%,3.0,1.0,0.3333,323.5,A
April,3.0,7:00,81.82%,13.0,2.0,0.15380000000000002,327.18,A
April,3.0,7:30,83.33%,6.0,0.0,0.0,459.5,A
April,3.0,8:00,92.86%,43.0,1.0,0.0233,274.83,A
April,3.0,8:30,100.00%,96.0,0.0,0.0,310.55,A
April,3.0,9:00,99.08%,109.0,0.0,0.0,291.0,A
April,3.0,9:30,98.66%,149.0,0.0,0.0,311.04,A
April,3.0,10:00,98.44%,192.0,0.0,0.0,292.23,A
April,3.0,10:30,100.00%,223.0,0.0,0.0,288.19,A
April,3.0,11:00,94.86%,257.0,4.0,0.015600000000000001,293.48,A
April,3.0,11:30,97.87%,235.0,0.0,0.0,288.07,A
April,3.0,12:00,96.17%,261.0,0.0,0.0,295.89,A
April,3.0,12:30,96.20%,237.0,0.0,0.0,303.3,A
April,3.0,18:30,98.11%,159.0,0.0,0.0,288.44,A
April,3.0,19:00,97.87%,95.0,1.0,0.0105,380.83,A
April,3.0,19:30,100.00%,78.0,0.0,0.0,380.12,A
April,3.0,20:00,96.15%,52.0,0.0,0.0,327.65,A
April,3.0,20:30,88.89%,47.0,2.0,0.0426,342.8,A
April,3.0,21:00,93.94%,36.0,3.0,0.0833,270.27,A
April,3.0,21:30,100.00%,22.0,0.0,0.0,285.95,A
April,3.0,22:00,92.31%,27.0,1.0,0.037000000000000005,350.27,A
April,3.0,22:30,50.00%,13.0,1.0,0.07690000000000001,320.42,A
April,3.0,23:00,50.00%,14.0,0.0,0.0,275.0,A
April,3.0,23:30,77.78%,9.0,0.0,0.0,247.67,A
April,4.0,0:00,80.00%,5.0,0.0,0.0,228.8,A
April,4.0,0:30,100.00%,6.0,0.0,0.0,337.0,A
April,4.0,1:00,100.00%,9.0,0.0,0.0,202.89,A
April,4.0,1:30,100.00%,4.0,0.0,0.0,256.0,A
April,4.0,4:00,50.00%,2.0,0.0,0.0,276.5,A
April,4.0,4:30,25.00%,4.0,0.0,0.0,359.75,A
April,4.0,5:00,100.00%,1.0,0.0,0.0,208.0,A
April,4.0,5:30,100.00%,2.0,0.0,0.0,113.5,A
April,4.0,6:00,100.00%,2.0,0.0,0.0,236.0,A
April,4.0,6:30,25.00%,7.0,3.0,0.4286,333.75,A
April,4.0,7:00,75.00%,8.0,0.0,0.0,288.5,A
April,4.0,7:30,94.44%,18.0,0.0,0.0,276.06,A
April,4.0,8:00,93.33%,45.0,0.0,0.0,273.38,A
April,4.0,8:30,100.00%,86.0,0.0,0.0,271.07,A
April,4.0,9:00,99.18%,122.0,0.0,0.0,325.59,A
April,4.0,9:30,98.85%,174.0,0.0,0.0,283.62,A
April,4.0,10:00,98.80%,166.0,0.0,0.0,298.48,A
April,4.0,10:30,99.53%,212.0,1.0,0.004699999999999999,330.84,A
April,4.0,11:00,99.55%,221.0,0.0,0.0,310.86,A
April,4.0,11:30,99.57%,232.0,1.0,0.0043,317.39,A
April,4.0,12:00,100.00%,232.0,0.0,0.0,310.03,A
April,4.0,12:30,96.52%,230.0,0.0,0.0,327.65,A
April,4.0,13:00,93.80%,260.0,2.0,0.0077,320.2,A
April,4.0,13:30,92.61%,257.0,0.0,0.0,310.3,A
April,4.0,14:00,100.00%,234.0,0.0,0.0,291.21,A
April,4.0,14:30,88.73%,276.0,1.0,0.0036,294.69,A
April,4.0,15:00,76.19%,256.0,4.0,0.015600000000000001,315.11,A
April,4.0,15:30,90.64%,269.0,2.0,0.0074,327.46,A
April,4.0,16:00,98.13%,268.0,0.0,0.0,308.75,A
April,4.0,16:30,100.00%,234.0,0.0,0.0,327.39,A
April,4.0,17:00,99.50%,199.0,0.0,0.0,307.53,A
April,4.0,17:30,95.40%,174.0,0.0,0.0,341.68,A
April,4.0,18:00,94.48%,163.0,0.0,0.0,323.99,A
April,4.0,18:30,96.88%,129.0,1.0,0.0078000000000000005,340.3,A
April,4.0,19:00,100.00%,62.0,0.0,0.0,327.85,A
April,4.0,19:30,97.92%,48.0,0.0,0.0,312.79,A
April,4.0,20:00,100.00%,49.0,0.0,0.0,321.65,A
April,4.0,20:30,100.00%,35.0,0.0,0.0,296.69,A
April,4.0,21:00,100.00%,31.0,0.0,0.0,343.29,A
April,4.0,21:30,100.00%,20.0,0.0,0.0,285.1,A
April,4.0,22:00,100.00%,28.0,0.0,0.0,303.64,A
April,4.0,22:30,58.33%,12.0,0.0,0.0,187.5,A
April,4.0,23:00,66.67%,10.0,1.0,0.1,209.56,A
April,4.0,23:30,85.71%,8.0,1.0,0.125,336.29,A
April,5.0,0:00,75.00%,5.0,1.0,0.2,430.5,A
April,5.0,0:30,100.00%,7.0,0.0,0.0,378.0,A
April,5.0,1:00,100.00%,3.0,0.0,0.0,716.67,A
April,5.0,1:30,50.00%,3.0,1.0,0.3333,676.5,A
April,5.0,3:00,100.00%,3.0,0.0,0.0,167.0,A
April,5.0,4:00,100.00%,2.0,0.0,0.0,269.0,A
April,5.0,5:30,100.00%,2.0,0.0,0.0,113.0,A
April,5.0,6:00,100.00%,1.0,0.0,0.0,129.0,A
April,5.0,6:30,100.00%,3.0,0.0,0.0,334.0,A
April,5.0,7:00,100.00%,4.0,0.0,0.0,250.0,A
April,5.0,7:30,83.33%,7.0,1.0,0.1429,202.33,A
April,5.0,8:00,89.66%,29.0,0.0,0.0,246.69,A
April,5.0,8:30,100.00%,48.0,0.0,0.0,261.96,A
April,5.0,9:00,96.20%,79.0,0.0,0.0,293.37,A
April,5.0,9:30,95.19%,104.0,0.0,0.0,293.68,A
April,5.0,10:00,91.89%,111.0,0.0,0.0,254.3,A
April,5.0,10:30,88.16%,154.0,2.0,0.013000000000000001,278.04,A
April,5.0,11:00,93.60%,172.0,0.0,0.0,294.19,A
April,5.0,11:30,97.55%,163.0,0.0,0.0,272.81,A
April,5.0,12:00,77.22%,182.0,2.0,0.011000000000000001,306.28,A
April,5.0,12:30,82.83%,202.0,4.0,0.019799999999999998,281.16,A
April,5.0,13:00,89.89%,188.0,0.0,0.0,294.5,A
April,5.0,13:30,96.91%,162.0,0.0,0.0,295.97,A
April,5.0,14:00,98.27%,173.0,0.0,0.0,278.04,A
April,5.0,14:30,90.40%,178.0,1.0,0.005600000000000001,311.85,A
April,5.0,15:00,99.38%,163.0,1.0,0.0060999999999999995,301.06,A
April,5.0,15:30,95.03%,161.0,0.0,0.0,318.52,A
April,5.0,16:00,100.00%,172.0,0.0,0.0,251.78,A
April,5.0,16:30,100.00%,154.0,0.0,0.0,280.45,A
April,5.0,17:00,95.97%,125.0,1.0,0.008,340.96,A
April,5.0,17:30,85.50%,131.0,0.0,0.0,277.89,A
April,5.0,18:00,75.81%,127.0,3.0,0.0236,316.95,A
April,5.0,18:30,100.00%,79.0,0.0,0.0,334.23,A
April,5.0,19:00,100.00%,70.0,0.0,0.0,257.41,A
April,5.0,19:30,100.00%,41.0,0.0,0.0,302.68,A
April,5.0,20:00,100.00%,45.0,1.0,0.0222,293.8,A
April,5.0,20:30,96.15%,26.0,0.0,0.0,232.85,A
April,5.0,21:00,100.00%,20.0,2.0,0.1,223.17,A
April,5.0,21:30,87.50%,24.0,0.0,0.0,358.96,A
April,5.0,22:00,100.00%,15.0,0.0,0.0,385.07,A
April,5.0,22:30,37.50%,9.0,1.0,0.11109999999999999,284.38,A
April,5.0,23:00,30.00%,13.0,3.0,0.23079999999999998,355.9,A
April,5.0,23:30,100.00%,2.0,0.0,0.0,268.0,A
April,6.0,0:00,50.00%,2.0,0.0,0.0,762.0,A
April,6.0,0:30,0.00%,3.0,2.0,0.6667000000000001,366.0,A
April,6.0,1:30,100.00%,1.0,0.0,0.0,371.0,A
April,6.0,2:00,100.00%,1.0,0.0,0.0,21.0,A
April,6.0,3:00,100.00%,2.0,0.0,0.0,308.0,A
April,6.0,6:00,100.00%,1.0,0.0,0.0,222.0,A
April,6.0,6:30,100.00%,1.0,0.0,0.0,106.0,A
April,6.0,7:00,100.00%,5.0,0.0,0.0,493.8,A
April,6.0,7:30,100.00%,1.0,0.0,0.0,278.0,A
April,6.0,8:00,100.00%,3.0,0.0,0.0,260.33,A
April,6.0,8:30,100.00%,9.0,0.0,0.0,207.11,A
April,6.0,9:00,100.00%,25.0,0.0,0.0,221.4,A
April,6.0,9:30,100.00%,21.0,0.0,0.0,314.57,A
April,6.0,10:00,100.00%,21.0,0.0,0.0,261.71,A
April,6.0,10:30,100.00%,39.0,0.0,0.0,258.0,A
April,6.0,11:00,97.30%,37.0,0.0,0.0,266.73,A
April,6.0,11:30,100.00%,34.0,0.0,0.0,350.65,A
April,6.0,12:00,100.00%,47.0,0.0,0.0,313.72,A
April,6.0,12:30,98.28%,58.0,0.0,0.0,285.52,A
April,6.0,13:00,76.25%,86.0,6.0,0.0698,278.14,A
April,6.0,13:30,89.04%,73.0,0.0,0.0,255.34,A
April,6.0,14:00,100.00%,71.0,0.0,0.0,257.17,A
April,6.0,14:30,100.00%,91.0,1.0,0.011000000000000001,263.13,A
April,6.0,15:00,95.59%,69.0,1.0,0.014499999999999999,334.79,A
April,6.0,15:30,93.98%,83.0,0.0,0.0,268.7,A
April,6.0,16:00,98.75%,80.0,0.0,0.0,328.65,A
April,6.0,16:30,100.00%,77.0,0.0,0.0,252.25,A
April,6.0,17:00,100.00%,55.0,0.0,0.0,273.67,A
April,6.0,17:30,100.00%,51.0,0.0,0.0,272.84,A
April,6.0,18:00,100.00%,46.0,0.0,0.0,312.85,A
April,6.0,18:30,100.00%,35.0,0.0,0.0,320.77,A
April,6.0,19:00,100.00%,28.0,0.0,0.0,289.57,A
April,6.0,19:30,100.00%,22.0,0.0,0.0,291.95,A
April,6.0,20:00,94.74%,19.0,0.0,0.0,238.68,A
April,6.0,20:30,100.00%,14.0,0.0,0.0,284.07,A
April,6.0,21:00,100.00%,14.0,0.0,0.0,296.14,A
April,6.0,21:30,100.00%,9.0,0.0,0.0,373.67,A
April,6.0,22:00,100.00%,21.0,0.0,0.0,263.05,A
April,6.0,22:30,60.00%,12.0,2.0,0.16670000000000001,324.2,A
April,6.0,23:00,85.71%,7.0,0.0,0.0,374.43,A
April,6.0,23:30,100.00%,5.0,0.0,0.0,200.0,A
April,7.0,0:00,100.00%,5.0,0.0,0.0,350.4,A
April,7.0,0:30,100.00%,5.0,0.0,0.0,266.8,A
April,7.0,1:00,100.00%,1.0,0.0,0.0,286.0,A
April,7.0,6:30,100.00%,1.0,0.0,0.0,53.0,A
April,7.0,7:00,85.71%,8.0,1.0,0.125,185.29,A
April,7.0,7:30,100.00%,6.0,0.0,0.0,540.83,A
April,7.0,8:00,100.00%,33.0,0.0,0.0,305.48,A
April,7.0,8:30,85.06%,87.0,0.0,0.0,297.95,A
April,7.0,9:00,92.92%,113.0,0.0,0.0,319.73,A
April,7.0,9:30,96.57%,176.0,1.0,0.005699999999999999,368.04,A
April,7.0,10:00,97.70%,174.0,0.0,0.0,323.98,A
April,7.0,10:30,98.98%,197.0,0.0,0.0,309.25,A
April,7.0,11:00,99.59%,242.0,0.0,0.0,332.38,A
April,7.0,11:30,98.79%,249.0,1.0,0.004,314.4,A
April,7.0,12:00,93.17%,249.0,0.0,0.0,309.31,A
April,7.0,12:30,98.04%,255.0,0.0,0.0,321.7,A
April,7.0,13:00,96.68%,301.0,0.0,0.0,299.98,A
April,7.0,13:30,99.13%,231.0,0.0,0.0,347.18,A
April,7.0,14:00,98.51%,268.0,0.0,0.0,319.88,A
April,7.0,14:30,86.52%,284.0,2.0,0.006999999999999999,334.34,A
April,7.0,15:00,80.95%,295.0,1.0,0.0034000000000000002,322.28,A
April,7.0,15:30,98.52%,270.0,0.0,0.0,354.54,A
April,7.0,16:00,99.24%,264.0,1.0,0.0038,320.65,A
April,7.0,16:30,99.19%,246.0,0.0,0.0,340.08,A
April,7.0,17:00,100.00%,238.0,0.0,0.0,357.74,A
April,7.0,17:30,98.59%,213.0,0.0,0.0,308.02,A
April,7.0,18:00,99.38%,160.0,0.0,0.0,314.43,A
April,7.0,18:30,98.53%,136.0,0.0,0.0,297.23,A
April,7.0,19:00,100.00%,90.0,0.0,0.0,339.97,A
April,7.0,19:30,97.73%,88.0,0.0,0.0,341.27,A
April,7.0,20:00,100.00%,67.0,0.0,0.0,311.31,A
April,7.0,20:30,97.14%,37.0,2.0,0.0541,384.31,A
April,7.0,21:00,97.30%,39.0,2.0,0.0513,260.86,A
April,7.0,21:30,100.00%,20.0,0.0,0.0,548.85,A
April,7.0,22:00,100.00%,18.0,0.0,0.0,226.67,A
April,7.0,22:30,40.00%,10.0,0.0,0.0,283.1,A
April,7.0,23:00,80.00%,15.0,0.0,0.0,226.0,A
April,7.0,23:30,100.00%,6.0,0.0,0.0,613.17,A
April,8.0,0:00,100.00%,5.0,0.0,0.0,351.8,A
April,8.0,0:30,100.00%,11.0,0.0,0.0,480.64,A
April,8.0,1:00,100.00%,4.0,0.0,0.0,481.0,A
April,8.0,1:30,100.00%,6.0,0.0,0.0,286.67,A
April,8.0,2:00,100.00%,2.0,0.0,0.0,372.0,A
April,8.0,2:30,100.00%,1.0,0.0,0.0,2.0,A
April,8.0,4:00,100.00%,1.0,0.0,0.0,211.0,A
April,8.0,4:30,100.00%,2.0,0.0,0.0,121.5,A
April,8.0,5:00,100.00%,3.0,0.0,0.0,217.67,A
April,8.0,5:30,100.00%,3.0,0.0,0.0,134.67,A
April,8.0,6:00,100.00%,1.0,0.0,0.0,206.0,A
April,8.0,6:30,14.29%,8.0,1.0,0.125,206.29,A
April,8.0,7:00,40.00%,5.0,0.0,0.0,268.4,A
April,8.0,7:30,92.86%,14.0,0.0,0.0,297.79,A
April,8.0,8:00,94.12%,34.0,0.0,0.0,250.41,A
April,8.0,8:30,83.72%,88.0,2.0,0.0227,285.71,A
April,8.0,9:00,92.65%,137.0,1.0,0.0073,320.65,A
April,8.0,9:30,93.33%,155.0,5.0,0.0323,331.31,A
April,8.0,10:00,74.02%,206.0,2.0,0.0097,351.02,A
April,8.0,10:30,96.74%,215.0,0.0,0.0,316.95,A
April,8.0,11:00,96.55%,204.0,1.0,0.0049,327.58,A
April,8.0,11:30,94.61%,243.0,2.0,0.008199999999999999,312.43,A
April,8.0,12:00,84.42%,283.0,7.0,0.024700000000000003,336.92,A
April,8.0,12:30,70.85%,252.0,5.0,0.019799999999999998,317.16,A
April,8.0,13:00,99.55%,224.0,0.0,0.0,325.81,A
April,8.0,13:30,95.92%,245.0,0.0,0.0,367.21,A
April,8.0,14:00,97.04%,270.0,0.0,0.0,291.77,A
April,8.0,14:30,100.00%,179.0,1.0,0.005600000000000001,318.51,A
April,8.0,15:00,91.60%,262.0,0.0,0.0,314.62,A
April,8.0,15:30,91.76%,268.0,1.0,0.0037,340.09,A
April,8.0,16:00,84.79%,264.0,1.0,0.0038,349.78,A
April,8.0,16:30,98.85%,262.0,1.0,0.0038,329.97,A
April,8.0,17:00,99.54%,216.0,0.0,0.0,282.39,A
April,8.0,17:30,97.93%,193.0,0.0,0.0,379.38,A
April,8.0,18:00,82.76%,176.0,2.0,0.011399999999999999,324.32,A
April,8.0,18:30,93.48%,138.0,0.0,0.0,326.01,A
April,8.0,19:00,100.00%,82.0,0.0,0.0,311.16,A
April,8.0,19:30,100.00%,94.0,0.0,0.0,276.96,A
April,8.0,20:00,100.00%,47.0,0.0,0.0,362.6,A
April,8.0,20:30,100.00%,52.0,0.0,0.0,272.9,A
April,8.0,21:00,94.59%,38.0,1.0,0.0263,342.89,A
April,8.0,21:30,100.00%,23.0,0.0,0.0,347.83,A
April,8.0,22:00,100.00%,21.0,0.0,0.0,271.0,A
April,8.0,22:30,55.56%,22.0,4.0,0.1818,273.33,A
April,8.0,23:00,26.67%,15.0,0.0,0.0,427.93,A
April,8.0,23:30,100.00%,8.0,0.0,0.0,339.0,A
April,9.0,0:00,100.00%,8.0,0.0,0.0,279.38,A
April,9.0,0:30,100.00%,4.0,0.0,0.0,150.5,A
April,9.0,1:30,100.00%,1.0,0.0,0.0,315.0,A
April,9.0,2:00,100.00%,2.0,0.0,0.0,257.0,A
April,9.0,2:30,100.00%,1.0,0.0,0.0,170.0,A
April,9.0,3:00,100.00%,2.0,0.0,0.0,288.5,A
April,9.0,3:30,100.00%,3.0,0.0,0.0,441.67,A
April,9.0,4:00,100.00%,2.0,0.0,0.0,183.5,A
April,9.0,5:00,100.00%,1.0,0.0,0.0,549.0,A
April,9.0,5:30,100.00%,1.0,0.0,0.0,226.0,A
April,9.0,6:00,100.00%,3.0,0.0,0.0,286.67,A
April,9.0,6:30,100.00%,1.0,0.0,0.0,117.0,A
April,9.0,7:00,100.00%,3.0,0.0,0.0,286.67,A
April,9.0,7:30,87.50%,8.0,0.0,0.0,356.88,A
April,9.0,8:00,93.18%,44.0,0.0,0.0,258.14,A
April,9.0,8:30,83.91%,90.0,3.0,0.0333,280.07,A
April,9.0,9:00,84.17%,121.0,1.0,0.0083,317.23,A
April,9.0,9:30,90.20%,154.0,1.0,0.006500000000000001,323.79,A
April,9.0,10:00,94.54%,185.0,2.0,0.0108,324.23,A
April,9.0,10:30,98.42%,190.0,0.0,0.0,324.04,A
April,9.0,11:00,95.48%,221.0,0.0,0.0,308.81,A
April,9.0,11:30,96.77%,218.0,1.0,0.0046,306.63,A
April,9.0,12:00,67.69%,232.0,3.0,0.0129,315.1,A
April,9.0,12:30,97.72%,220.0,1.0,0.0045000000000000005,318.79,A
April,9.0,13:00,99.51%,204.0,0.0,0.0,292.59,A
April,9.0,13:30,100.00%,197.0,0.0,0.0,317.41,A
April,9.0,14:00,99.51%,205.0,0.0,0.0,324.2,A
April,9.0,14:30,96.96%,230.0,0.0,0.0,310.72,A
April,9.0,15:00,93.28%,253.0,0.0,0.0,331.55,A
April,9.0,15:30,97.33%,226.0,1.0,0.0044,311.28,A
April,9.0,16:00,99.50%,202.0,0.0,0.0,328.49,A
April,9.0,16:30,99.49%,197.0,1.0,0.0051,295.94,A
April,10.0,1:30,100.00%,2.0,0.0,0.0,379.5,A
April,10.0,2:00,100.00%,1.0,0.0,0.0,154.0,A
April,10.0,3:00,100.00%,1.0,0.0,0.0,315.0,A
April,10.0,4:30,100.00%,1.0,0.0,0.0,470.0,A
April,10.0,5:00,100.00%,3.0,0.0,0.0,169.67,A
April,10.0,5:30,100.00%,3.0,0.0,0.0,141.33,A
April,10.0,6:00,100.00%,4.0,2.0,0.5,307.0,A
April,10.0,6:30,50.00%,2.0,0.0,0.0,271.0,A
April,10.0,7:00,57.14%,8.0,1.0,0.125,321.57,A
April,10.0,7:30,15.38%,15.0,2.0,0.1333,245.62,A
April,10.0,8:00,84.78%,46.0,0.0,0.0,282.2,A
April,10.0,8:30,73.44%,65.0,1.0,0.0154,328.0,A
April,10.0,9:00,94.34%,106.0,0.0,0.0,315.42,A
April,10.0,9:30,96.90%,129.0,0.0,0.0,305.79,A
April,10.0,10:00,75.74%,173.0,4.0,0.0231,308.44,A
April,10.0,10:30,91.12%,216.0,2.0,0.009300000000000001,306.94,A
April,10.0,11:00,97.67%,215.0,0.0,0.0,305.64,A
April,10.0,11:30,80.09%,230.0,4.0,0.0174,340.47,A
April,10.0,12:00,95.61%,228.0,0.0,0.0,324.37,A
April,10.0,12:30,86.51%,254.0,2.0,0.0079,293.73,A
April,10.0,13:00,92.56%,215.0,0.0,0.0,286.83,A
April,10.0,13:30,98.52%,203.0,0.0,0.0,322.07,A
April,10.0,14:00,92.09%,255.0,2.0,0.0078000000000000005,307.36,A
April,10.0,14:30,95.14%,247.0,0.0,0.0,311.53,A
April,10.0,15:00,94.62%,226.0,3.0,0.013300000000000001,327.03,A
April,10.0,15:30,62.11%,209.0,19.0,0.0909,329.06,A
April,10.0,16:00,72.77%,245.0,10.0,0.0408,329.43,A
April,10.0,16:30,98.97%,195.0,0.0,0.0,330.95,A
April,10.0,17:00,98.95%,193.0,2.0,0.0104,331.29,A
April,10.0,17:30,95.48%,177.0,0.0,0.0,354.5,A
April,10.0,18:00,93.29%,166.0,2.0,0.012,370.43,A
April,10.0,18:30,100.00%,134.0,0.0,0.0,320.18,A
April,10.0,19:00,97.73%,89.0,1.0,0.011200000000000002,372.08,A
April,10.0,19:30,100.00%,61.0,0.0,0.0,309.2,A
April,10.0,20:00,98.15%,54.0,0.0,0.0,333.69,A
April,10.0,20:30,100.00%,30.0,1.0,0.0333,336.38,A
April,10.0,21:00,92.59%,27.0,0.0,0.0,467.85,A
April,10.0,21:30,100.00%,22.0,0.0,0.0,320.05,A
April,10.0,22:00,100.00%,17.0,0.0,0.0,195.76,A
April,10.0,22:30,90.00%,10.0,0.0,0.0,400.7,A
April,10.0,23:00,71.43%,7.0,0.0,0.0,127.0,A
April,10.0,23:30,54.55%,12.0,1.0,0.0833,364.0,A
April,11.0,0:00,100.00%,3.0,0.0,0.0,566.67,A
April,11.0,0:30,100.00%,4.0,0.0,0.0,124.75,A
April,11.0,1:30,25.00%,4.0,0.0,0.0,207.75,A
April,11.0,2:00,100.00%,2.0,0.0,0.0,256.5,A
April,11.0,2:30,100.00%,1.0,0.0,0.0,426.0,A
April,11.0,3:00,100.00%,6.0,1.0,0.16670000000000001,159.6,A
April,11.0,3:30,100.00%,5.0,0.0,0.0,52.2,A
April,11.0,4:00,100.00%,3.0,0.0,0.0,40.33,A
April,11.0,5:00,100.00%,1.0,0.0,0.0,231.0,A
April,11.0,6:00,100.00%,1.0,0.0,0.0,234.0,A
